group,replicate,fastq_1,fastq_2,control
NRL-L75Pfs_H3K4me1,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-001_NRL_L75Pfs_H3K4me1_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-001_NRL_L75Pfs_H3K4me1_replicate1.R2.fastq.gz,
NRL-L75Pfs_H3K4me3,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-002_NRL_L75Pfs_H3K4me3_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-002_NRL_L75Pfs_H3K4me3_replicate1.R2.fastq.gz,
NRL-L75Pfs_H3K27ac,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-003_NRL_L75Pfs_H3K27ac_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-003_NRL_L75Pfs_H3K27ac_replicate1.R2.fastq.gz,
NRL-L75Pfs_H3K27me3,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-004_NRL_L75Pfs_H3K27me3_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-004_NRL_L75Pfs_H3K27me3_replicate1.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K4me1,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-005_NRL_L75Pfs-AAV_H3K4me1_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-005_NRL_L75Pfs-AAV_H3K4me1_replicate1.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K4me3,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-006_NRL_L75Pfs-AAV_H3K4me3_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-006_NRL_L75Pfs-AAV_H3K4me3_replicate1.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K27ac,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-007_NRL_L75Pfs-AAV_H3K27ac_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-007_NRL_L75Pfs-AAV_H3K27ac_replicate1.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K27me3,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-008_NRL_L75Pfs-AAV_H3K27me3_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-008_NRL_L75Pfs-AAV_H3K27me3_replicate1.R2.fastq.gz,
NRL-L75Pfs_H3K4me1,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-009_NRL_L75Pfs_H3K4me1_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-009_NRL_L75Pfs_H3K4me1_replicate2.R2.fastq.gz,
NRL-L75Pfs_H3K4me3,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-010_NRL_L75Pfs_H3K4me3_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-010_NRL_L75Pfs_H3K4me3_replicate2.R2.fastq.gz,
NRL-L75Pfs_H3K27ac,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-011_NRL_L75Pfs_H3K27ac_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-011_NRL_L75Pfs_H3K27ac_replicate2.R2.fastq.gz,
NRL-L75Pfs_H3K27me3,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-012_NRL_L75Pfs_H3K27me3_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-012_NRL_L75Pfs_H3K27me3_replicate2.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K4me1,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-013_NRL_L75Pfs-AAV_H3K4me1_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-013_NRL_L75Pfs-AAV_H3K4me1_replicate2.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K4me3,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-014_NRL_L75Pfs-AAV_H3K4me3_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-014_NRL_L75Pfs-AAV_H3K4me3_replicate2.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K27ac,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-015_NRL_L75Pfs-AAV_H3K27ac_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-015_NRL_L75Pfs-AAV_H3K27ac_replicate2.R2.fastq.gz,
NRL-L75Pfs-AAV_H3K27me3,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-016_NRL_L75Pfs-AAV_H3K27me3_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250131_92/ctG2025-016_NRL_L75Pfs-AAV_H3K27me3_replicate2.R2.fastq.gz,
NRL-L75Pfs_NRL,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-017_NRL_L75Pfs-NRL_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-017_NRL_L75Pfs-NRL_replicate1.R2.fastq.gz,
NRL-L75Pfs_CRX,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-018_NRL_L75Pfs_CRX_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-018_NRL_L75Pfs_CRX_replicate1.R2.fastq.gz,
NRL-L75Pfs-AAV_NRL,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-019_NRL_L75Pfs-AAV_NRL_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-019_NRL_L75Pfs-AAV_NRL_replicate1.R2.fastq.gz,
NRL-L75Pfs-AAV_CRX,1,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-020_NRL_L75Pfs-AAV_CRX_replicate1.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-020_NRL_L75Pfs-AAV_CRX_replicate1.R2.fastq.gz,
NRL-L75Pfs_NRL,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-021_NRL_L75Pfs_NRL_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-021_NRL_L75Pfs_NRL_replicate2.R2.fastq.gz,
NRL-L75Pfs_CRX,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-022_NRL_L75Pfs_CRX_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-022_NRL_L75Pfs_CRX_replicate2.R2.fastq.gz,
NRL-L75Pfs-AAV_NRL,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-023_NRL_L75Pfs-AAV_NRL_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-023_NRL_L75Pfs-AAV_NRL_replicate2.R2.fastq.gz,
NRL-L75Pfs-AAV_CRX,2,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-024_NRL_L75Pfs-AAV_CRX_replicate2.R1.fastq.gz,/data/brooksma/NF-core/cutandrun/NRL-L75Pfs/FQ/250207_20/ctG2025-024_NRL_L75Pfs-AAV_CRX_replicate2.R2.fastq.gz,
